delivery_id,order_id,expected_date,delivery_date,delivery_status,delay_days
D000242,O000295,2023-09-29,2023-09-29,On-Time,0
D000243,O000296,2023-12-06,2023-12-07,Delayed,1
D000244,O000297,2023-02-09,2023-02-09,On-Time,0
D000245,O000298,2023-07-13,2023-07-13,On-Time,0
D000246,O000299,2023-12-26,2023-12-26,On-Time,0
D000247,O000300,2023-03-19,2023-03-19,On-Time,0
D000248,O000301,2023-09-28,2023-09-30,Delayed,2
D000249,O000302,2023-10-17,2023-10-17,On-Time,0
D000250,O000303,2023-02-04,2023-02-04,On-Time,0
D000251,O000306,2023-06-16,2023-06-16,On-Time,0
D000252,O000307,2023-07-14,2023-07-14,On-Time,0
D000253,O000308,2023-04-20,2023-04-20,On-Time,0
D000254,O000309,2023-08-10,2023-08-10,On-Time,0
D000255,O000311,2023-12-11,2023-12-11,On-Time,0
D000256,O000312,2023-03-04,2023-03-04,On-Time,0
D000257,O000313,2023-11-17,2023-11-17,On-Time,0
D000258,O000314,2023-07-06,2023-07-06,On-Time,0
D000259,O000315,2023-04-27,2023-04-27,On-Time,0
D000260,O000316,2023-07-24,2023-07-24,On-Time,0
D000261,O000317,2023-07-02,2023-07-02,On-Time,0
D000262,O000318,2023-05-03,2023-05-03,On-Time,0
D000263,O000319,2023-07-31,2023-07-31,On-Time,0
D000264,O000320,2023-07-17,2023-07-17,On-Time,0
D000265,O000322,2023-10-02,2023-10-02,On-Time,0
D000266,O000323,2023-05-09,2023-05-13,Delayed,4
D000267,O000324,2023-12-23,2023-12-26,Delayed,3
D000268,O000326,2023-06-27,2023-06-27,On-Time,0
D000269,O000327,2023-07-17,2023-07-17,On-Time,0
D000270,O000328,2023-04-16,2023-04-16,On-Time,0
D000271,O000330,2023-11-08,2023-11-08,On-Time,0
D000272,O000331,2023-09-17,2023-09-17,On-Time,0
D000273,O000332,2023-05-31,2023-05-31,On-Time,0
D000274,O000333,2023-04-04,2023-04-08,Delayed,4
D000275,O000334,2023-02-20,2023-02-20,On-Time,0
D000276,O000335,2023-03-30,2023-03-30,On-Time,0
D000277,O000336,2023-10-09,2023-10-09,On-Time,0
D000278,O000338,2023-03-17,2023-03-17,On-Time,0
D000279,O000339,2023-12-11,2023-12-11,On-Time,0
D000280,O000340,2023-12-01,2023-12-01,On-Time,0
D000281,O000341,2023-10-31,2023-10-31,On-Time,0
D000282,O000342,2023-10-05,2023-10-05,On-Time,0
D000283,O000343,2023-01-26,2023-01-26,On-Time,0
D000284,O000345,2023-11-28,2023-11-28,On-Time,0
D000285,O000346,2023-05-23,2023-05-23,On-Time,0
D000286,O000348,2023-11-03,2023-11-03,On-Time,0
D000287,O000349,2023-07-22,2023-07-22,On-Time,0
D000288,O000350,2023-11-03,2023-11-03,On-Time,0
D000289,O000351,2023-07-08,2023-07-08,On-Time,0
D000290,O000352,2023-07-14,2023-07-14,On-Time,0
D000291,O000353,2023-12-10,2023-12-10,On-Time,0
D000292,O000354,2023-06-12,2023-06-12,On-Time,0
D000293,O000355,2023-02-25,2023-03-01,Delayed,4
D000294,O000357,2023-01-04,2023-01-04,On-Time,0
D000295,O000358,2023-03-29,2023-03-29,On-Time,0
D000296,O000359,2023-04-19,2023-04-20,Delayed,1
D000297,O000361,2023-05-14,2023-05-14,On-Time,0
D000298,O000363,2023-03-13,2023-03-13,On-Time,0
D000299,O000364,2023-02-24,2023-02-24,On-Time,0
D000300,O000365,2023-03-13,2023-03-13,On-Time,0
D000301,O000366,2023-09-28,2023-10-02,Delayed,4
D000302,O000367,2023-09-01,2023-09-01,On-Time,0
D000303,O000368,2023-02-22,2023-02-26,Delayed,4
D000304,O000369,2023-01-13,2023-01-13,On-Time,0
D000305,O000370,2023-02-28,2023-02-28,On-Time,0
D000306,O000372,2023-01-28,2023-01-28,On-Time,0
D000307,O000373,2023-09-04,2023-09-04,On-Time,0
D000308,O000374,2023-12-12,2023-12-12,On-Time,0
D000309,O000375,2023-11-14,2023-11-14,On-Time,0
D000310,O000376,2023-04-27,2023-04-27,On-Time,0
D000311,O000377,2023-12-24,2023-12-24,On-Time,0
D000312,O000378,2023-09-16,2023-09-16,On-Time,0
D000313,O000379,2023-11-12,2023-11-12,On-Time,0
D000314,O000381,2023-09-28,2023-09-28,On-Time,0
D000315,O000382,2023-04-15,2023-04-15,On-Time,0
D000316,O000383,2023-12-01,2023-12-01,On-Time,0
D000317,O000385,2023-11-02,2023-11-05,Delayed,3
D000318,O000386,2023-09-07,2023-09-07,On-Time,0
D000319,O000387,2023-01-20,2023-01-20,On-Time,0
D000320,O000388,2023-11-26,2023-11-26,On-Time,0
D000321,O000389,2023-08-09,2023-08-09,On-Time,0
D000322,O000390,2023-12-12,2023-12-12,On-Time,0
D000323,O000391,2023-04-06,2023-04-06,On-Time,0
D000324,O000392,2023-03-09,2023-03-09,On-Time,0
D000325,O000393,2023-06-10,2023-06-10,On-Time,0
D000326,O000394,2023-02-23,2023-02-23,On-Time,0
D000327,O000395,2023-03-07,2023-03-07,On-Time,0
D000328,O000396,2023-12-07,2023-12-07,On-Time,0
D000329,O000397,2023-09-20,2023-09-23,Delayed,3
D000330,O000398,2023-10-26,2023-10-26,On-Time,0
D000331,O000399,2023-05-21,2023-05-21,On-Time,0
D000332,O000401,2023-04-13,2023-04-13,On-Time,0
D000333,O000402,2023-08-22,2023-08-22,On-Time,0
D000334,O000403,2023-06-25,2023-06-25,On-Time,0
D000335,O000404,2023-01-28,2023-01-28,On-Time,0
D000336,O000405,2023-01-20,2023-01-20,On-Time,0
D000337,O000406,2023-06-23,2023-06-23,On-Time,0
D000338,O000408,2023-02-01,2023-02-01,On-Time,0
D000339,O000409,2023-01-29,2023-01-29,On-Time,0
D000340,O000410,2023-10-29,2023-10-29,On-Time,0
D000341,O000411,2023-02-07,2023-02-07,On-Time,0
D000342,O000412,2023-01-03,2023-01-03,On-Time,0
D000343,O000413,2023-01-25,2023-01-25,On-Time,0
D000344,O000414,2023-04-14,2023-04-14,On-Time,0
D000345,O000415,2023-09-09,2023-09-13,Delayed,4
D000346,O000416,2023-09-14,2023-09-14,On-Time,0
D000347,O000417,2023-01-21,2023-01-21,On-Time,0
D000348,O000418,2023-07-14,2023-07-14,On-Time,0
D000349,O000419,2023-01-18,2023-01-19,Delayed,1
D000350,O000421,2023-11-22,2023-11-22,On-Time,0
D000351,O000422,2023-07-09,2023-07-09,On-Time,0
D000352,O000423,2023-04-17,2023-04-17,On-Time,0
D000353,O000425,2023-01-09,2023-01-09,On-Time,0
D000354,O000428,2023-11-18,2023-11-18,On-Time,0
D000355,O000429,2023-01-16,2023-01-16,On-Time,0
D000356,O000430,2023-07-27,2023-07-27,On-Time,0
D000357,O000431,2023-11-29,2023-11-29,On-Time,0
D000358,O000433,2023-04-24,2023-04-25,Delayed,1
D000359,O000435,2023-09-19,2023-09-19,On-Time,0
D000360,O000436,2023-04-03,2023-04-03,On-Time,0
D000361,O000437,2023-03-12,2023-03-12,On-Time,0
D000362,O000438,2023-02-20,2023-02-20,On-Time,0
D000363,O000439,2023-02-23,2023-02-23,On-Time,0
D000364,O000440,2023-02-01,2023-02-01,On-Time,0
D000365,O000441,2023-05-23,2023-05-23,On-Time,0
D000366,O000442,2023-09-13,2023-09-13,On-Time,0
D000367,O000443,2023-08-07,2023-08-07,On-Time,0
D000368,O000444,2023-04-07,2023-04-07,On-Time,0
D000369,O000445,2023-10-14,2023-10-14,On-Time,0
D000370,O000446,2023-11-21,2023-11-21,On-Time,0
D000371,O000447,2023-05-11,2023-05-11,On-Time,0
D000372,O000448,2023-02-17,2023-02-18,Delayed,1
D000373,O000449,2023-01-18,2023-01-18,On-Time,0
D000374,O000450,2023-01-19,2023-01-19,On-Time,0
D000375,O000451,2023-09-25,2023-09-25,On-Time,0
D000376,O000453,2023-06-23,2023-06-23,On-Time,0
D000377,O000454,2023-07-26,2023-07-26,On-Time,0
D000378,O000456,2023-12-04,2023-12-04,On-Time,0
D000379,O000457,2023-01-13,2023-01-13,On-Time,0
D000380,O000459,2023-03-01,2023-03-01,On-Time,0
D000381,O000460,2023-09-15,2023-09-15,On-Time,0
D000382,O000461,2023-04-17,2023-04-17,On-Time,0
D000383,O000462,2023-03-05,2023-03-05,On-Time,0
D000384,O000463,2023-07-08,2023-07-08,On-Time,0
D000385,O000464,2023-06-29,2023-06-29,On-Time,0
D000386,O000468,2023-10-06,2023-10-06,On-Time,0
D000387,O000469,2023-05-01,2023-05-01,On-Time,0
D000388,O000470,2023-05-11,2023-05-11,On-Time,0
D000389,O000471,2023-02-09,2023-02-09,On-Time,0
D000390,O000472,2023-10-17,2023-10-17,On-Time,0
D000391,O000473,2023-06-01,2023-06-01,On-Time,0
D000392,O000474,2023-03-03,2023-03-03,On-Time,0
D000393,O000476,2023-05-09,2023-05-09,On-Time,0
D000394,O000477,2023-04-19,2023-04-19,On-Time,0
D000395,O000478,2023-05-28,2023-05-28,On-Time,0
D000396,O000480,2023-06-25,2023-06-25,On-Time,0
D000397,O000481,2023-08-08,2023-08-08,On-Time,0
D000398,O000482,2023-12-23,2023-12-23,On-Time,0
D000399,O000483,2023-03-05,2023-03-06,Delayed,1
D000400,O000484,2023-01-18,2023-01-18,On-Time,0
D000401,O000485,2023-08-01,2023-08-04,Delayed,3
D000402,O000486,2023-12-08,2023-12-08,On-Time,0
D000403,O000487,2023-09-10,2023-09-10,On-Time,0
D000404,O000488,2023-07-22,2023-07-22,On-Time,0
D000405,O000490,2023-08-30,2023-08-30,On-Time,0
D000406,O000491,2023-05-24,2023-05-24,On-Time,0
D000407,O000492,2023-10-22,2023-10-23,Delayed,1
D000408,O000493,2023-05-06,2023-05-06,On-Time,0
D000409,O000494,2023-08-10,2023-08-10,On-Time,0
D000410,O000495,2023-02-12,2023-02-12,On-Time,0
D000411,O000496,2023-07-21,2023-07-21,On-Time,0
D000412,O000497,2023-10-02,2023-10-02,On-Time,0
D000413,O000498,2023-04-09,2023-04-09,On-Time,0
D000414,O000499,2023-06-02,2023-06-02,On-Time,0
D000415,O000500,2023-03-03,2023-03-03,On-Time,0
D000416,O000501,2023-03-24,2023-03-24,On-Time,0
D000417,O000502,2023-02-08,2023-02-08,On-Time,0
D000418,O000504,2023-07-26,2023-07-26,On-Time,0
D000419,O000505,2023-10-06,2023-10-06,On-Time,0
D000420,O000506,2023-10-06,2023-10-06,On-Time,0
D000421,O000507,2023-03-16,2023-03-16,On-Time,0
D000422,O000508,2023-10-05,2023-10-05,On-Time,0
D000423,O000509,2023-12-01,2023-12-01,On-Time,0
D000424,O000510,2023-12-16,2023-12-16,On-Time,0
D000425,O000511,2023-08-14,2023-08-14,On-Time,0
D000426,O000513,2023-08-31,2023-08-31,On-Time,0
D000427,O000514,2023-05-06,2023-05-06,On-Time,0
D000428,O000515,2023-09-30,2023-10-03,Delayed,3
D000429,O000517,2023-01-18,2023-01-18,On-Time,0
D000430,O000518,2023-10-31,2023-10-31,On-Time,0
D000431,O000519,2023-11-08,2023-11-08,On-Time,0
D000432,O000520,2023-08-07,2023-08-08,Delayed,1
D000433,O000521,2023-06-08,2023-06-12,Delayed,4
D000434,O000522,2023-11-02,2023-11-06,Delayed,4
D000435,O000523,2023-10-29,2023-10-29,On-Time,0
D000436,O000525,2023-06-12,2023-06-12,On-Time,0
D000437,O000526,2023-05-09,2023-05-09,On-Time,0
D000438,O000527,2023-03-07,2023-03-07,On-Time,0
D000439,O000528,2023-03-21,2023-03-23,Delayed,2
D000440,O000529,2023-12-05,2023-12-07,Delayed,2
D000441,O000530,2023-10-05,2023-10-05,On-Time,0
D000442,O000531,2023-07-17,2023-07-17,On-Time,0
D000443,O000532,2023-11-27,2023-11-27,On-Time,0
D000444,O000533,2023-04-18,2023-04-22,Delayed,4
D000445,O000534,2023-05-08,2023-05-08,On-Time,0
D000446,O000537,2023-04-14,2023-04-14,On-Time,0
D000447,O000540,2023-11-12,2023-11-12,On-Time,0
D000448,O000542,2023-04-25,2023-04-25,On-Time,0
D000449,O000544,2023-04-07,2023-04-07,On-Time,0
D000450,O000545,2023-04-08,2023-04-08,On-Time,0
D000451,O000546,2023-12-06,2023-12-06,On-Time,0
D000452,O000547,2023-10-06,2023-10-06,On-Time,0
D000453,O000548,2023-06-23,2023-06-23,On-Time,0
D000454,O000549,2023-10-27,2023-10-27,On-Time,0
D000455,O000552,2023-03-23,2023-03-25,Delayed,2
D000456,O000553,2023-04-02,2023-04-02,On-Time,0
D000457,O000554,2023-08-27,2023-08-27,On-Time,0
D000458,O000555,2023-07-20,2023-07-20,On-Time,0
D000459,O000556,2023-06-12,2023-06-12,On-Time,0
D000460,O000557,2023-12-10,2023-12-14,Delayed,4
D000461,O000558,2023-06-02,2023-06-06,Delayed,4
D000462,O000559,2023-07-25,2023-07-25,On-Time,0
D000463,O000560,2023-10-25,2023-10-29,Delayed,4
D000464,O000561,2023-09-01,2023-09-04,Delayed,3
D000465,O000562,2023-12-24,2023-12-24,On-Time,0
D000466,O000563,2023-07-09,2023-07-09,On-Time,0
D000467,O000564,2023-11-01,2023-11-01,On-Time,0
D000468,O000565,2023-07-02,2023-07-02,On-Time,0
D000469,O000567,2023-05-21,2023-05-21,On-Time,0
D000470,O000568,2023-07-18,2023-07-18,On-Time,0
D000471,O000569,2023-04-18,2023-04-18,On-Time,0
D000472,O000570,2023-03-26,2023-03-26,On-Time,0
D000473,O000572,2023-09-21,2023-09-21,On-Time,0
D000474,O000574,2023-01-24,2023-01-24,On-Time,0
D000475,O000576,2023-06-25,2023-06-25,On-Time,0
D000476,O000578,2023-07-09,2023-07-09,On-Time,0
D000477,O000579,2023-11-08,2023-11-08,On-Time,0
D000478,O000580,2023-10-24,2023-10-28,Delayed,4
D000479,O000582,2023-02-05,2023-02-06,Delayed,1
D000480,O000583,2023-11-19,2023-11-19,On-Time,0
