order_id,product_id,warehouse_id,quantity,order_date,order_amount,order_status
O000130,P029,W005,1,2023-11-09,89,Delivered
O000132,P016,W010,1,2023-06-01,179,Cancelled
O000133,P008,W005,2,2023-09-10,60,Delivered
O000134,P006,W003,1,2023-06-22,20,Delivered
O000135,P026,W005,2,2023-07-28,360,Delivered
O000136,P017,W001,2,2023-03-03,178,Delivered
O000138,P025,W008,2,2023-08-20,300,Delivered
O000139,P009,W005,1,2023-12-21,60,Delivered
O000140,P014,W001,1,2023-03-16,20,Delivered
O000141,P014,W002,3,2023-10-20,60,Delivered
O000142,P028,W010,1,2023-09-30,130,Delivered
O000143,P017,W005,1,2023-06-15,89,Delivered
O000144,P017,W010,1,2023-12-03,89,Delivered
O000145,P009,W007,2,2023-08-08,120,Delivered
O000147,P011,W003,3,2023-11-24,120,Delivered
O000148,P004,W001,4,2023-08-15,356,Delivered
O000149,P009,W010,2,2023-08-15,120,Delivered
O000150,P020,W007,1,2023-10-11,199,Delivered
O000151,P007,W003,1,2023-06-30,20,Delivered
O000152,P028,W008,1,2023-12-29,130,Delivered
O000153,P028,W003,2,2023-08-08,260,Delivered
O000154,P025,W002,1,2023-06-12,150,Delivered
O000155,P009,W006,1,2023-06-12,60,Pending
O000156,P019,W007,2,2023-08-18,398,Delivered
O000157,P028,W005,1,2023-07-12,130,Delivered
O000158,P027,W005,1,2023-01-25,350,Delivered
O000159,P002,W006,3,2023-09-20,135,Delivered
O000160,P012,W006,4,2023-05-28,396,Delivered
O000161,P006,W006,1,2023-10-17,20,Delivered
O000162,P014,W008,2,2023-10-07,40,Delivered
O000163,P019,W001,1,2023-01-12,199,Delivered
O000164,P029,W006,1,2023-12-22,89,Cancelled
O000165,P010,W005,1,2023-12-21,25,Delivered
O000166,P017,W009,1,2023-12-06,89,Delivered
O000167,P025,W005,1,2023-01-20,150,Delivered
O000168,P019,W002,2,2023-09-26,398,Delivered
O000169,P003,W005,4,2023-12-24,220,Delivered
O000170,P022,W004,2,2023-10-19,640,Cancelled
O000171,P030,W009,2,2023-03-27,440,Delivered
O000172,P004,W001,4,2023-04-03,356,Delivered
O000173,P024,W003,2,2023-03-18,360,Delivered
O000174,P028,W010,2,2023-11-30,260,Delivered
O000175,P026,W006,2,2023-03-17,360,Delivered
O000176,P004,W008,3,2023-05-07,267,Delivered
O000177,P015,W008,1,2023-06-19,299,Delivered
O000178,P022,W003,2,2023-06-01,640,Cancelled
O000179,P006,W009,1,2023-12-27,20,Cancelled
O000180,P015,W007,2,2023-09-13,598,Delivered
O000181,P023,W005,1,2023-04-16,25,Delivered
O000182,P016,W002,2,2023-01-07,358,Delivered
O000183,P002,W001,3,2023-01-07,135,Delivered
O000184,P010,W003,2,2023-10-19,50,Delivered
O000185,P025,W010,1,2023-09-02,150,Cancelled
O000186,P016,W009,2,2023-01-18,358,Cancelled
O000187,P029,W009,1,2023-03-12,89,Delivered
O000188,P012,W009,4,2023-07-31,396,Delivered
O000189,P018,W008,2,2023-02-23,90,Delivered
O000190,P009,W004,2,2023-10-06,120,Delivered
O000191,P006,W007,2,2023-01-10,40,Delivered
O000193,P013,W008,3,2023-04-30,375,Delivered
O000194,P009,W003,2,2023-09-04,120,Delivered
O000195,P005,W009,1,2023-07-19,35,Delivered
O000196,P001,W002,1,2023-07-24,26,Delivered
O000197,P014,W005,2,2023-07-11,40,Delivered
O000198,P003,W003,4,2023-04-16,220,Delivered
O000199,P014,W005,4,2023-05-15,80,Delivered
O000200,P028,W009,1,2023-08-22,130,Delivered
O000201,P024,W001,2,2023-11-20,360,Delivered
O000202,P019,W002,2,2023-05-31,398,Delivered
O000203,P014,W003,3,2023-05-03,60,Delivered
O000204,P014,W008,1,2023-05-23,20,Delivered
O000206,P030,W006,2,2023-03-17,440,Delivered
O000207,P010,W001,2,2023-07-14,50,Delivered
O000208,P020,W007,1,2023-08-19,199,Delivered
O000210,P004,W002,3,2023-08-26,267,Delivered
O000211,P013,W009,2,2023-11-18,250,Pending
O000212,P014,W010,2,2023-07-30,40,Delivered
O000213,P027,W001,2,2023-07-20,700,Delivered
O000214,P004,W006,2,2023-07-15,178,Delivered
O000215,P010,W005,1,2023-08-07,25,Delivered
O000216,P016,W010,2,2023-08-15,358,Delivered
O000217,P026,W004,2,2023-01-20,360,Delivered
O000218,P015,W006,1,2023-10-27,299,Delivered
O000219,P005,W009,1,2023-02-08,35,Delivered
O000220,P002,W006,2,2023-07-07,90,Delivered
O000221,P003,W003,2,2023-11-14,110,Delivered
O000222,P003,W001,2,2023-03-14,110,Delivered
O000223,P019,W005,2,2023-07-23,398,Delivered
O000224,P017,W002,2,2023-10-26,178,Delivered
O000225,P017,W006,1,2023-03-06,89,Delivered
O000226,P025,W005,2,2023-01-02,300,Delivered
O000227,P017,W005,2,2023-06-21,178,Delivered
O000228,P017,W009,2,2023-10-13,178,Delivered
O000229,P009,W004,2,2023-10-26,120,Delivered
O000230,P011,W003,2,2023-06-16,80,Delivered
O000231,P028,W007,1,2023-06-15,130,Delivered
O000232,P015,W008,4,2023-04-30,1196,Delivered
O000233,P027,W001,1,2023-08-31,350,Delivered
O000234,P023,W005,1,2023-03-26,25,Delivered
O000235,P024,W003,2,2023-08-13,360,Delivered
O000236,P024,W009,2,2023-07-07,360,Delivered
O000237,P022,W006,2,2023-12-25,640,Delivered
O000239,P004,W009,4,2023-05-14,356,Delivered
O000240,P001,W009,4,2023-02-06,104,Delivered
O000241,P021,W009,2,2023-05-03,560,Cancelled
O000242,P015,W007,4,2023-01-09,1196,Delivered
O000243,P021,W003,1,2023-06-17,280,Delivered
O000244,P001,W004,1,2023-04-02,26,Delivered
O000246,P025,W006,2,2023-01-27,300,Delivered
O000247,P026,W006,1,2023-08-25,180,Delivered
O000248,P029,W001,2,2023-09-30,178,Delivered
O000249,P005,W003,3,2023-04-28,105,Delivered
O000250,P002,W002,2,2023-10-11,90,Delivered
O000251,P025,W006,2,2023-02-21,300,Delivered
O000252,P028,W007,1,2023-06-12,130,Pending
O000253,P005,W010,2,2023-11-14,70,Delivered
O000254,P003,W008,4,2023-11-16,220,Delivered
O000255,P030,W007,2,2023-05-21,440,Cancelled
O000256,P024,W003,1,2023-03-12,180,Delivered
O000257,P028,W009,2,2023-06-02,260,Delivered
O000258,P030,W010,1,2023-11-30,220,Delivered
O000259,P013,W006,3,2023-05-05,375,Delivered
O000260,P026,W007,2,2023-07-17,360,Cancelled
O000261,P009,W001,2,2023-10-05,120,Delivered
O000262,P012,W002,1,2023-01-26,99,Delivered
O000263,P006,W008,1,2023-06-14,20,Delivered
O000264,P019,W004,2,2023-11-16,398,Cancelled
O000265,P027,W009,1,2023-09-14,350,Delivered
O000266,P026,W001,2,2023-11-16,360,Delivered
O000267,P003,W001,3,2023-03-13,165,Delivered
O000268,P018,W003,1,2023-06-28,45,Delivered
O000269,P019,W007,1,2023-05-18,199,Cancelled
O000270,P029,W004,1,2023-05-19,89,Delivered
O000271,P025,W004,1,2023-07-24,150,Delivered
O000272,P015,W005,2,2023-02-15,598,Delivered
O000273,P026,W007,1,2023-02-18,180,Delivered
O000274,P007,W010,2,2023-11-07,40,Delivered
O000275,P004,W003,4,2023-04-15,356,Delivered
O000276,P021,W005,1,2023-08-13,280,Delivered
O000277,P027,W001,1,2023-06-07,350,Delivered
O000278,P016,W007,2,2023-03-27,358,Delivered
O000279,P005,W004,4,2023-03-14,140,Delivered
O000281,P027,W007,1,2023-11-03,350,Delivered
O000282,P008,W008,2,2023-03-31,60,Delivered
O000283,P012,W001,1,2023-01-04,99,Delivered
O000284,P004,W005,1,2023-03-01,89,Cancelled
O000285,P021,W007,2,2023-05-11,560,Delivered
O000286,P019,W008,2,2023-08-25,398,Delivered
O000287,P014,W004,2,2023-06-05,40,Delivered
O000288,P012,W005,1,2023-01-31,99,Delivered
O000289,P030,W006,1,2023-01-21,220,Delivered
O000290,P028,W008,2,2023-12-12,260,Delivered
O000291,P007,W001,1,2023-12-24,20,Delivered
O000292,P003,W001,2,2023-10-13,110,Delivered
O000293,P012,W003,3,2023-08-22,297,Delivered
O000294,P007,W003,2,2023-08-21,40,Delivered
O000295,P014,W007,1,2023-09-27,20,Delivered
O000296,P026,W005,2,2023-12-04,360,Delivered
O000297,P016,W008,1,2023-02-08,179,Delivered
O000298,P018,W010,1,2023-07-12,45,Pending
O000299,P016,W005,1,2023-12-25,179,Pending
O000300,P009,W003,1,2023-03-18,60,Delivered
O000301,P011,W010,3,2023-09-27,120,Delivered
O000302,P017,W002,1,2023-10-15,89,Delivered
O000303,P014,W006,3,2023-02-02,60,Delivered
O000304,P008,W006,1,2023-01-18,30,Cancelled
O000305,P024,W007,1,2023-10-25,180,Cancelled
O000306,P008,W006,1,2023-06-15,30,Delivered
O000307,P002,W010,2,2023-07-12,90,Delivered
O000308,P022,W005,2,2023-04-19,640,Delivered
O000309,P026,W009,2,2023-08-09,360,Pending
O000311,P026,W009,2,2023-12-09,360,Delivered
O000312,P016,W002,2,2023-03-02,358,Delivered
O000313,P017,W008,1,2023-11-15,89,Delivered
O000314,P007,W008,1,2023-07-04,20,Delivered
O000315,P024,W010,2,2023-04-25,360,Delivered
O000316,P015,W007,2,2023-07-23,598,Delivered
O000317,P029,W010,1,2023-06-30,89,Delivered
O000318,P004,W003,4,2023-05-02,356,Pending
O000319,P023,W007,2,2023-07-30,50,Delivered
O000320,P012,W010,4,2023-07-16,396,Delivered
O000322,P003,W008,2,2023-09-30,110,Delivered
O000323,P004,W010,1,2023-05-08,89,Delivered
O000324,P019,W003,1,2023-12-22,199,Delivered
O000325,P008,W006,1,2023-06-06,30,Cancelled
O000326,P029,W001,2,2023-06-26,178,Delivered
O000327,P012,W001,3,2023-07-15,297,Delivered
O000328,P005,W010,3,2023-04-15,105,Delivered
O000330,P003,W004,4,2023-11-07,220,Delivered
O000331,P008,W009,2,2023-09-16,60,Delivered
O000332,P013,W009,3,2023-05-29,375,Delivered
O000333,P019,W006,1,2023-04-03,199,Pending
O000334,P018,W005,2,2023-02-18,90,Delivered
O000335,P023,W005,1,2023-03-28,25,Delivered
O000336,P022,W001,1,2023-10-07,320,Delivered
O000337,P009,W003,2,2023-09-28,120,Cancelled
O000338,P015,W007,1,2023-03-15,299,Delivered
O000339,P025,W002,2,2023-12-10,300,Delivered
O000340,P026,W003,1,2023-11-30,180,Delivered
O000341,P012,W001,1,2023-10-30,99,Delivered
O000342,P018,W003,2,2023-10-03,90,Delivered
O000343,P001,W007,3,2023-01-25,78,Delivered
O000345,P021,W002,2,2023-11-27,560,Delivered
O000346,P017,W005,1,2023-05-21,89,Delivered
O000348,P011,W001,4,2023-11-02,160,Delivered
O000349,P002,W001,3,2023-07-20,135,Delivered
O000350,P015,W002,1,2023-11-02,299,Delivered
O000351,P015,W008,1,2023-07-06,299,Delivered
O000352,P017,W007,1,2023-07-13,89,Delivered
O000353,P028,W002,2,2023-12-08,260,Delivered
O000354,P009,W006,1,2023-06-11,60,Delivered
O000355,P025,W008,2,2023-02-24,300,Delivered
O000356,P013,W010,4,2023-06-22,500,Cancelled
O000357,P016,W005,2,2023-01-03,358,Delivered
O000358,P020,W008,1,2023-03-27,199,Delivered
O000359,P010,W001,2,2023-04-17,50,Delivered
O000361,P010,W003,1,2023-05-13,25,Delivered
O000362,P014,W007,3,2023-03-10,60,Cancelled
O000363,P023,W010,1,2023-03-11,25,Delivered
O000364,P001,W010,1,2023-02-22,26,Delivered
O000365,P002,W003,1,2023-03-12,45,Delivered
O000366,P008,W005,1,2023-09-26,30,Delivered
O000367,P002,W010,1,2023-08-30,45,Delivered
O000368,P006,W009,2,2023-02-20,40,Delivered
O000369,P020,W003,1,2023-01-12,199,Delivered
O000370,P015,W005,2,2023-02-27,598,Delivered
O000371,P009,W004,2,2023-04-16,120,Cancelled
O000372,P019,W001,1,2023-01-27,199,Delivered
O000373,P023,W001,2,2023-09-02,50,Delivered
O000374,P009,W007,2,2023-12-10,120,Delivered
O000375,P017,W008,1,2023-11-12,89,Delivered
O000376,P013,W003,2,2023-04-26,250,Delivered
O000377,P015,W001,3,2023-12-22,897,Delivered
O000378,P013,W005,1,2023-09-14,125,Delivered
O000379,P022,W003,1,2023-11-10,320,Delivered
O000380,P027,W006,1,2023-05-21,350,Cancelled
O000381,P018,W003,2,2023-09-26,90,Delivered
O000382,P028,W001,1,2023-04-13,130,Delivered
O000383,P007,W005,2,2023-11-30,40,Delivered
O000385,P024,W001,2,2023-10-31,360,Delivered
O000386,P001,W006,2,2023-09-06,52,Delivered
O000387,P008,W003,1,2023-01-19,30,Delivered
O000388,P013,W004,4,2023-11-25,500,Delivered
O000389,P002,W001,3,2023-08-08,135,Delivered
O000390,P001,W008,3,2023-12-11,78,Delivered
O000391,P027,W010,1,2023-04-05,350,Delivered
O000392,P009,W003,2,2023-03-08,120,Delivered
O000393,P015,W008,4,2023-06-08,1196,Delivered
O000394,P005,W002,1,2023-02-21,35,Delivered
O000395,P002,W004,2,2023-03-06,90,Delivered
O000396,P025,W006,1,2023-12-06,150,Delivered
O000397,P016,W006,2,2023-09-19,358,Delivered
O000398,P023,W008,1,2023-10-25,25,Delivered
O000399,P007,W007,2,2023-05-19,40,Delivered
O000400,P003,W005,1,2023-09-01,55,Cancelled
O000401,P002,W006,2,2023-04-12,90,Delivered
O000402,P014,W010,4,2023-08-21,80,Delivered
O000403,P028,W008,2,2023-06-24,260,Delivered
O000404,P029,W008,1,2023-01-26,89,Pending
O000405,P012,W007,2,2023-01-19,198,Delivered
O000406,P006,W005,2,2023-06-22,40,Delivered
O000408,P010,W008,1,2023-01-30,25,Delivered
O000409,P028,W003,1,2023-01-27,130,Delivered
O000410,P020,W009,1,2023-10-27,199,Delivered
O000411,P022,W002,1,2023-02-06,320,Delivered
O000412,P003,W007,2,2023-01-01,110,Delivered
O000413,P004,W001,3,2023-01-23,267,Delivered
O000414,P015,W002,4,2023-04-13,1196,Delivered
O000415,P014,W009,1,2023-09-07,20,Delivered
O000416,P006,W007,1,2023-09-13,20,Delivered
O000417,P016,W001,2,2023-01-20,358,Delivered
O000418,P007,W002,1,2023-07-13,20,Delivered
O000419,P016,W004,2,2023-01-16,358,Delivered
O000420,P021,W001,1,2023-10-05,280,Cancelled
O000421,P020,W002,1,2023-11-20,199,Delivered
O000422,P011,W009,2,2023-07-07,80,Delivered
O000423,P006,W008,2,2023-04-16,40,Delivered
O000424,P001,W010,1,2023-03-03,26,Cancelled
O000425,P021,W001,1,2023-01-08,280,Delivered
O000427,P013,W009,1,2023-05-31,125,Cancelled
O000428,P014,W009,2,2023-11-17,40,Delivered
O000429,P011,W007,1,2023-01-15,40,Delivered
O000430,P002,W003,2,2023-07-26,90,Delivered
O000431,P013,W008,2,2023-11-27,250,Delivered
O000433,P027,W002,2,2023-04-22,700,Delivered
O000435,P009,W004,1,2023-09-18,60,Delivered
O000436,P002,W003,3,2023-04-01,135,Delivered
O000437,P002,W001,3,2023-03-10,135,Delivered
O000438,P014,W004,3,2023-02-19,60,Delivered
O000439,P012,W010,3,2023-02-22,297,Delivered
O000440,P012,W004,4,2023-01-30,396,Delivered
O000441,P016,W010,2,2023-05-22,358,Delivered
O000442,P008,W007,1,2023-09-11,30,Delivered
O000443,P028,W008,1,2023-08-05,130,Delivered
O000444,P018,W001,2,2023-04-05,90,Delivered
O000445,P022,W004,1,2023-10-12,320,Delivered
O000446,P012,W006,2,2023-11-19,198,Delivered
O000447,P012,W007,4,2023-05-09,396,Delivered
O000448,P010,W006,1,2023-02-16,25,Delivered
O000449,P024,W003,2,2023-01-16,360,Delivered
O000450,P005,W009,1,2023-01-18,35,Delivered
O000451,P020,W004,2,2023-09-23,398,Delivered
O000453,P004,W006,4,2023-06-21,356,Delivered
O000454,P015,W002,1,2023-07-24,299,Delivered
O000455,P023,W004,1,2023-09-14,25,Cancelled
O000456,P007,W002,1,2023-12-03,20,Delivered
O000457,P022,W007,2,2023-01-11,640,Delivered
O000459,P021,W001,2,2023-02-27,560,Delivered
O000460,P018,W002,2,2023-09-14,90,Delivered
O000461,P028,W002,2,2023-04-16,260,Delivered
O000462,P021,W008,2,2023-03-03,560,Delivered
O000463,P009,W003,1,2023-07-06,60,Delivered
O000464,P029,W009,2,2023-06-28,178,Delivered
O000465,P028,W004,2,2023-08-27,260,Cancelled
O000467,P013,W005,2,2023-01-27,250,Cancelled
O000468,P028,W009,1,2023-10-05,130,Delivered
O000469,P017,W006,2,2023-04-29,178,Delivered
O000470,P012,W008,4,2023-05-09,396,Delivered
O000471,P024,W010,2,2023-02-07,360,Delivered
O000472,P011,W002,3,2023-10-16,120,Delivered
O000473,P003,W005,4,2023-05-31,220,Delivered
O000474,P007,W007,2,2023-03-02,40,Delivered
O000476,P002,W004,3,2023-05-07,135,Delivered
O000477,P023,W009,1,2023-04-17,25,Delivered
O000478,P013,W001,2,2023-05-27,250,Delivered
O000480,P020,W001,2,2023-06-24,398,Delivered
O000481,P023,W003,1,2023-08-06,25,Delivered
O000482,P006,W002,2,2023-12-22,40,Delivered
O000483,P003,W001,3,2023-03-04,165,Delivered
O000484,P008,W004,1,2023-01-16,30,Delivered
O000485,P010,W001,1,2023-07-31,25,Delivered
O000486,P019,W003,1,2023-12-06,199,Delivered
O000487,P001,W004,3,2023-09-08,78,Delivered
O000488,P024,W002,1,2023-07-20,180,Delivered
O000490,P024,W005,1,2023-08-28,180,Delivered
O000491,P014,W010,4,2023-05-22,80,Pending
O000492,P028,W008,2,2023-10-20,260,Delivered
O000493,P007,W009,2,2023-05-05,40,Delivered
O000494,P029,W004,2,2023-08-08,178,Delivered
O000495,P006,W004,2,2023-02-10,40,Delivered
O000496,P011,W002,2,2023-07-19,80,Delivered
O000497,P019,W007,1,2023-09-30,199,Delivered
O000498,P020,W007,2,2023-04-07,398,Delivered
O000499,P025,W004,1,2023-05-31,150,Delivered
O000500,P006,W004,2,2023-03-02,40,Delivered
O000501,P025,W006,1,2023-03-22,150,Delivered
O000502,P016,W002,2,2023-02-07,358,Delivered
O000504,P020,W003,2,2023-07-24,398,Delivered
O000505,P007,W001,2,2023-10-04,40,Delivered
O000506,P001,W001,3,2023-10-05,78,Delivered
O000507,P022,W001,1,2023-03-15,320,Delivered
O000508,P028,W005,2,2023-10-04,260,Delivered
O000509,P023,W002,1,2023-11-30,25,Delivered
O000510,P017,W001,2,2023-12-15,178,Delivered
O000511,P017,W005,2,2023-08-13,178,Delivered
O000513,P016,W007,2,2023-08-29,358,Delivered
O000514,P012,W008,1,2023-05-05,99,Delivered
O000515,P029,W006,1,2023-09-28,89,Delivered
O000517,P003,W009,1,2023-01-17,55,Delivered
O000518,P002,W010,2,2023-10-29,90,Delivered
O000519,P007,W010,1,2023-11-07,20,Delivered
O000520,P030,W006,2,2023-08-06,440,Delivered
O000521,P003,W005,1,2023-06-07,55,Delivered
O000522,P005,W003,1,2023-11-01,35,Delivered
O000523,P007,W008,2,2023-10-27,40,Delivered
O000524,P017,W008,2,2023-10-28,178,Cancelled
O000525,P022,W010,2,2023-06-11,640,Delivered
O000526,P018,W010,1,2023-05-08,45,Delivered
O000527,P022,W005,2,2023-03-05,640,Delivered
O000528,P016,W010,2,2023-03-20,358,Delivered
O000529,P017,W002,1,2023-12-04,89,Delivered
O000530,P010,W007,1,2023-10-04,25,Delivered
O000531,P020,W008,2,2023-07-15,398,Delivered
O000532,P020,W003,1,2023-11-25,199,Delivered
O000533,P010,W003,2,2023-04-16,50,Delivered
O000534,P028,W005,1,2023-05-06,130,Delivered
O000535,P011,W007,2,2023-07-07,80,Cancelled
O000537,P007,W001,2,2023-04-13,40,Delivered
O000538,P014,W005,1,2023-04-15,20,Cancelled
O000539,P006,W006,1,2023-08-15,20,Cancelled
O000540,P017,W003,1,2023-11-11,89,Delivered
O000541,P021,W009,2,2023-12-20,560,Cancelled
O000542,P030,W004,1,2023-04-23,220,Delivered
O000543,P023,W010,1,2023-06-04,25,Cancelled
O000544,P018,W001,1,2023-04-05,45,Delivered
O000545,P030,W005,1,2023-04-07,220,Delivered
O000546,P007,W007,1,2023-12-05,20,Delivered
O000547,P015,W008,2,2023-10-04,598,Delivered
O000548,P015,W010,2,2023-06-21,598,Delivered
O000549,P009,W005,1,2023-10-26,60,Delivered
O000551,P029,W004,1,2023-02-07,89,Cancelled
O000552,P017,W006,1,2023-03-22,89,Delivered
O000553,P009,W005,1,2023-03-31,60,Pending
O000554,P010,W001,1,2023-08-26,25,Delivered
O000555,P017,W005,2,2023-07-18,178,Delivered
O000556,P026,W004,1,2023-06-10,180,Delivered
O000557,P024,W007,2,2023-12-08,360,Delivered
O000558,P024,W006,1,2023-06-01,180,Delivered
O000559,P025,W009,1,2023-07-23,150,Delivered
O000560,P010,W002,2,2023-10-23,50,Delivered
O000561,P005,W001,2,2023-08-31,70,Delivered
O000562,P011,W009,2,2023-12-23,80,Delivered
O000563,P014,W009,2,2023-07-07,40,Delivered
O000564,P012,W009,4,2023-10-31,396,Delivered
O000565,P004,W001,4,2023-06-30,356,Delivered
O000566,P011,W010,2,2023-01-04,80,Cancelled
O000567,P009,W005,2,2023-05-19,120,Delivered
O000568,P027,W008,1,2023-07-17,350,Delivered
O000569,P030,W007,2,2023-04-17,440,Delivered
O000570,P021,W010,1,2023-03-24,280,Delivered
O000572,P007,W004,2,2023-09-20,40,Delivered
O000574,P015,W006,4,2023-01-23,1196,Delivered
O000576,P018,W007,2,2023-06-24,90,Delivered
O000577,P021,W003,1,2023-01-02,280,Cancelled
O000578,P003,W005,1,2023-07-07,55,Delivered
O000579,P010,W010,2,2023-11-06,50,Delivered
O000580,P006,W005,1,2023-10-23,20,Delivered
O000582,P003,W007,2,2023-02-03,110,Delivered
O000583,P002,W001,2,2023-11-18,90,Delivered
O000584,P017,W008,1,2023-05-20,89,Delivered
O000585,P017,W005,1,2023-05-11,89,Delivered
O000586,P019,W005,1,2023-08-29,199,Cancelled
O000588,P010,W007,1,2023-03-27,25,Delivered
O000589,P001,W004,4,2023-10-11,104,Delivered
O000590,P025,W001,2,2023-02-01,300,Delivered
O000591,P015,W006,2,2023-09-13,598,Delivered
