inventory_id,product_id,warehouse_id,stock_available,reorder_level,last_restock_date
I0120,P030,W004,70,14,2026-04-23
I0121,P001,W005,77,15,2026-04-19
I0122,P002,W005,184,36,2026-05-01
I0123,P003,W005,250,50,2026-05-12
I0124,P004,W005,377,75,2026-05-04
I0125,P005,W005,317,63,2026-05-10
I0126,P006,W005,62,12,2026-04-25
I0127,P007,W005,77,15,2026-04-23
I0128,P008,W005,91,18,2026-04-20
I0129,P009,W005,245,49,2026-04-27
I0130,P010,W005,322,64,2026-04-17
I0131,P011,W005,148,29,2026-05-12
I0132,P012,W005,221,44,2026-05-05
I0133,P013,W005,409,81,2026-05-11
I0134,P014,W005,263,52,2026-04-23
I0135,P015,W005,84,16,2026-05-08
I0136,P016,W005,256,51,2026-05-04
I0137,P017,W005,130,26,2026-04-15
I0138,P018,W005,160,32,2026-05-02
I0139,P019,W005,286,57,2026-04-20
I0140,P020,W005,34,6,2026-05-12
I0141,P021,W005,317,63,2026-04-14
I0142,P022,W005,602,120,2026-04-26
I0143,P023,W005,497,99,2026-04-23
I0144,P024,W005,492,98,2026-04-26
I0145,P025,W005,306,61,2026-04-23
I0146,P026,W005,44,8,2026-04-30
I0147,P027,W005,375,75,2026-05-12
I0148,P028,W005,71,14,2026-05-05
I0149,P029,W005,208,41,2026-04-23
I0150,P030,W005,92,18,2026-05-02
I0151,P001,W006,401,80,2026-04-21
I0152,P002,W006,280,56,2026-04-30
I0153,P003,W006,290,58,2026-04-21
I0154,P004,W006,101,20,2026-05-07
I0155,P005,W006,145,29,2026-05-12
I0156,P006,W006,251,50,2026-04-26
I0157,P007,W006,260,52,2026-04-30
I0158,P008,W006,266,53,2026-05-08
I0159,P009,W006,172,34,2026-04-21
I0160,P010,W006,200,40,2026-05-05
I0161,P011,W006,78,15,2026-04-27
I0162,P012,W006,85,17,2026-04-15
I0163,P013,W006,62,12,2026-04-21
I0164,P014,W006,209,41,2026-04-18
I0165,P015,W006,376,75,2026-04-29
I0166,P016,W006,216,43,2026-05-12
I0167,P017,W006,272,54,2026-05-09
I0168,P018,W006,115,23,2026-04-28
I0169,P019,W006,313,62,2026-05-07
I0170,P020,W006,95,19,2026-05-08
I0171,P021,W006,781,156,2026-05-07
I0172,P022,W006,656,131,2026-04-29
I0173,P023,W006,673,134,2026-05-10
I0174,P024,W006,745,149,2026-04-18
I0175,P025,W006,127,25,2026-05-07
I0176,P026,W006,137,27,2026-05-08
I0177,P027,W006,73,14,2026-04-29
I0178,P028,W006,369,73,2026-05-03
I0179,P029,W006,315,63,2026-04-22
I0180,P030,W006,360,72,2026-04-27
I0181,P001,W007,177,35,2026-04-16
I0182,P002,W007,397,79,2026-04-24
I0183,P003,W007,280,56,2026-04-27
I0184,P004,W007,239,47,2026-05-06
I0185,P005,W007,274,54,2026-04-27
I0186,P006,W007,312,62,2026-04-18
I0187,P007,W007,150,30,2026-05-06
I0188,P008,W007,145,29,2026-04-25
I0189,P009,W007,262,52,2026-05-09
I0190,P010,W007,288,57,2026-05-09
I0191,P011,W007,408,81,2026-04-27
I0192,P012,W007,247,49,2026-04-18
I0193,P013,W007,460,92,2026-04-25
I0194,P014,W007,186,37,2026-05-06
I0195,P015,W007,367,73,2026-05-01
I0196,P016,W007,194,38,2026-04-20
I0197,P017,W007,254,50,2026-04-14
I0198,P018,W007,336,67,2026-05-05
I0199,P019,W007,263,52,2026-04-21
I0200,P020,W007,201,40,2026-04-25
I0201,P021,W007,763,152,2026-04-13
I0202,P022,W007,473,94,2026-05-07
I0203,P023,W007,771,154,2026-05-10
I0204,P024,W007,707,141,2026-05-06
I0205,P025,W007,571,114,2026-04-30
I0206,P026,W007,262,52,2026-04-17
I0207,P027,W007,209,41,2026-05-11
I0208,P028,W007,142,28,2026-04-15
I0209,P029,W007,347,69,2026-04-30
I0210,P030,W007,81,16,2026-04-20
I0211,P001,W008,317,63,2026-04-18
I0212,P002,W008,344,68,2026-05-08
I0213,P003,W008,435,87,2026-04-28
I0214,P004,W008,436,87,2026-05-05
I0215,P005,W008,162,32,2026-05-12
I0216,P006,W008,130,26,2026-05-12
I0217,P007,W008,142,28,2026-04-30
I0218,P008,W008,110,22,2026-05-04
I0219,P009,W008,216,43,2026-04-27
I0220,P010,W008,142,28,2026-04-14
I0221,P011,W008,51,10,2026-04-28
I0222,P012,W008,179,35,2026-05-06
I0223,P013,W008,269,53,2026-04-17
I0224,P014,W008,103,20,2026-04-14
I0225,P015,W008,392,78,2026-04-30
I0226,P016,W008,253,50,2026-04-15
I0227,P017,W008,254,50,2026-05-03
I0228,P018,W008,155,31,2026-04-19
I0229,P019,W008,159,31,2026-05-01
I0230,P020,W008,82,16,2026-04-19
I0231,P021,W008,783,156,2026-04-14
I0232,P022,W008,771,154,2026-04-25
I0233,P023,W008,515,103,2026-04-14
I0234,P024,W008,346,69,2026-04-17
I0235,P025,W008,538,107,2026-05-10
I0236,P026,W008,232,46,2026-05-01
I0237,P027,W008,213,42,2026-05-04
I0238,P028,W008,152,30,2026-05-07
I0239,P029,W008,284,56,2026-05-02
I0240,P030,W008,323,64,2026-05-09
I0241,P001,W009,329,65,2026-04-20
I0242,P002,W009,374,74,2026-05-08
I0243,P003,W009,421,84,2026-04-17
I0244,P004,W009,147,29,2026-04-14
I0245,P005,W009,247,49,2026-05-10
I0246,P006,W009,269,53,2026-05-12
I0247,P007,W009,173,34,2026-05-02
I0248,P008,W009,126,25,2026-05-06
I0249,P009,W009,230,46,2026-04-20
I0250,P010,W009,153,30,2026-04-26
I0251,P011,W009,236,47,2026-05-07
I0252,P012,W009,375,75,2026-04-30
I0253,P013,W009,398,79,2026-05-10
I0254,P014,W009,308,61,2026-04-20
I0255,P015,W009,197,39,2026-04-27
I0256,P016,W009,281,56,2026-05-04
I0257,P017,W009,375,75,2026-05-07
I0258,P018,W009,176,35,2026-04-20
I0259,P019,W009,177,35,2026-04-24
I0260,P020,W009,381,76,2026-04-16
I0261,P021,W009,588,117,2026-05-07
I0262,P022,W009,739,147,2026-05-01
I0263,P023,W009,650,130,2026-05-08
I0264,P024,W009,437,87,2026-04-24
I0265,P025,W009,740,148,2026-04-26
I0266,P026,W009,296,59,2026-04-29
I0267,P027,W009,180,36,2026-05-02
I0268,P028,W009,327,65,2026-04-27
I0269,P029,W009,128,25,2026-05-10
I0270,P030,W009,292,58,2026-04-15
I0271,P001,W010,301,60,2026-04-15
I0272,P002,W010,193,38,2026-05-06
I0273,P003,W010,395,79,2026-05-12
I0274,P004,W010,161,32,2026-05-01
I0275,P005,W010,109,21,2026-04-28
I0276,P006,W010,398,79,2026-04-15
I0277,P007,W010,31,6,2026-04-19
I0278,P008,W010,333,66,2026-05-04
I0279,P009,W010,283,56,2026-05-02
I0280,P010,W010,169,33,2026-04-22
I0281,P011,W010,86,17,2026-05-05
I0282,P012,W010,209,41,2026-04-27
I0283,P013,W010,58,11,2026-04-22
I0284,P014,W010,282,56,2026-05-04
I0285,P015,W010,148,29,2026-04-26
I0286,P016,W010,176,35,2026-04-23
I0287,P017,W010,333,66,2026-04-26
I0288,P018,W010,237,47,2026-04-30
I0289,P019,W010,160,32,2026-04-16
I0290,P020,W010,181,36,2026-04-14
I0291,P021,W010,153,30,2026-04-24
I0292,P022,W010,219,43,2026-04-15
I0293,P023,W010,772,154,2026-04-30
I0294,P024,W010,727,145,2026-04-26
I0295,P025,W010,686,137,2026-04-26
I0296,P026,W010,142,28,2026-04-14
I0297,P027,W010,133,26,2026-04-20
I0298,P028,W010,369,73,2026-04-30
I0299,P029,W010,283,56,2026-05-09
I0300,P030,W010,256,51,2026-05-10
